sample_index,timestamp_sec,raw,voltage_v
120749,7.5468125,-29857,0.0
120750,7.546875,-29859,0.0
120751,7.5469375,-29862,0.0
120752,7.547,-29867,0.0
120753,7.5470625,-29862,0.0
120754,7.547125,-29856,0.0
120755,7.5471875,-29859,0.0
120756,7.54725,-29859,0.0
120757,7.5473125,-29858,0.0
120758,7.547375,-29855,0.0
120759,7.5474375,-29854,0.0
120760,7.5475,-29857,0.0
120761,7.5475625,-29860,0.0
120762,7.547625,-29856,0.0
120763,7.5476875,-29856,0.0
120764,7.54775,-29856,0.0
120765,7.5478125,-29856,0.0
120766,7.547875,-29855,0.0
120767,7.5479375,-29859,0.0
120768,7.548,-29858,0.0
120769,7.5480625,-29854,0.0
120770,7.548125,-29855,0.0
120771,7.5481875,-29860,0.0
120772,7.54825,-29860,0.0
120773,7.5483125,-29854,0.0
120774,7.548375,-29855,0.0
120775,7.5484375,-29855,0.0
120776,7.5485,-29854,0.0
120777,7.5485625,-29859,0.0
120778,7.548625,-29858,0.0
120779,7.5486875,-29855,0.0
120780,7.54875,-29858,0.0
120781,7.5488125,-29861,0.0
120782,7.548875,-29863,0.0
120783,7.5489375,-29862,0.0
120784,7.549,-29862,0.0
120785,7.5490625,-29860,0.0
120786,7.549125,-29864,0.0
120787,7.5491875,-29863,0.0
120788,7.54925,-29864,0.0
120789,7.5493125,-29861,0.0
120790,7.549375,-29860,0.0
120791,7.5494375,-29860,0.0
120792,7.5495,-29858,0.0
120793,7.5495625,-29857,0.0
120794,7.549625,-29861,0.0
120795,7.5496875,-29855,0.0
120796,7.54975,-29855,0.0
120797,7.5498125,-29861,0.0
120798,7.549875,-29856,0.0
120799,7.5499375,-29854,0.0
120800,7.55,-29855,0.0
120801,7.5500625,-29857,0.0
120802,7.550125,-29860,0.0
120803,7.5501875,-29864,0.0
120804,7.55025,-29861,0.0
120805,7.5503125,-29859,0.0
120806,7.550375,-29858,0.0
120807,7.5504375,-29862,0.0
120808,7.5505,-29858,0.0
120809,7.5505625,-29860,0.0
120810,7.550625,-29865,0.0
120811,7.5506875,-29862,0.0
120812,7.55075,-29857,0.0
120813,7.5508125,-29859,0.0
120814,7.550875,-29866,0.0
120815,7.5509375,-29862,0.0
120816,7.551,-29862,0.0
120817,7.5510625,-29864,0.0
120818,7.551125,-29868,0.0
120819,7.5511875,-29868,0.0
120820,7.55125,-29860,0.0
120821,7.5513125,-29858,0.0
120822,7.551375,-29861,0.0
120823,7.5514375,-29864,0.0
120824,7.5515,-29855,0.0
120825,7.5515625,-29855,0.0
120826,7.551625,-29855,0.0
120827,7.5516875,-29855,0.0
120828,7.55175,-29864,0.0
120829,7.5518125,-29867,0.0
120830,7.551875,-29865,0.0
120831,7.5519375,-29864,0.0
120832,7.552,-29873,0.0
120833,7.5520625,-29867,0.0
120834,7.552125,-29859,0.0
120835,7.5521875,-29860,0.0
120836,7.55225,-29853,0.0
120837,7.5523125,-29856,0.0
120838,7.552375,-29857,0.0
120839,7.5524375,-29858,0.0
120840,7.5525,-29858,0.0
120841,7.5525625,-29857,0.0
120842,7.552625,-29851,0.0
120843,7.5526875,-29855,0.0
120844,7.55275,-29858,0.0
120845,7.5528125,-29854,0.0
120846,7.552875,-29855,0.0
120847,7.5529375,-29858,0.0
120848,7.553,-29859,0.0
120849,7.5530625,-29859,0.0
120850,7.553125,-29857,0.0
120851,7.5531875,-29860,0.0
120852,7.55325,-29857,0.0
120853,7.5533125,-29858,0.0
120854,7.553375,-29864,0.0
120855,7.5534375,-29863,0.0
120856,7.5535,-29857,0.0
120857,7.5535625,-29853,0.0
120858,7.553625,-29850,0.0
120859,7.5536875,-29852,0.0
120860,7.55375,-29853,0.0
120861,7.5538125,-29856,0.0
120862,7.553875,-29854,0.0
120863,7.5539375,-29855,0.0
120864,7.554,-29852,0.0
120865,7.5540625,-29856,0.0
120866,7.554125,-29861,0.0
120867,7.5541875,-29863,0.0
120868,7.55425,-29859,0.0
120869,7.5543125,-29854,0.0
120870,7.554375,-29857,0.0
120871,7.5544375,-29857,0.0
120872,7.5545,-29854,0.0
120873,7.5545625,-29853,0.0
120874,7.554625,-29856,0.0
120875,7.5546875,-29852,0.0
120876,7.55475,-29845,0.0
120877,7.5548125,-29847,0.0
120878,7.554875,-29850,0.0
120879,7.5549375,-29851,0.0
120880,7.555,-29851,0.0
120881,7.5550625,-29854,0.0
120882,7.555125,-29850,0.0
120883,7.5551875,-29853,0.0
120884,7.55525,-29854,0.0
120885,7.5553125,-29853,0.0
120886,7.555375,-29853,0.0
120887,7.5554375,-29862,0.0
120888,7.5555,-29863,0.0
120889,7.5555625,-29864,0.0
120890,7.555625,-29865,0.0
120891,7.5556875,-29864,0.0
120892,7.55575,-29862,0.0
120893,7.5558125,-29860,0.0
120894,7.555875,-29864,0.0
120895,7.5559375,-29862,0.0
120896,7.556,-29860,0.0
120897,7.5560625,-29859,0.0
120898,7.556125,-29860,0.0
120899,7.5561875,-29856,0.0
120900,7.55625,-29864,0.0
120901,7.5563125,-29869,0.0
120902,7.556375,-29862,0.0
120903,7.5564375,-29857,0.0
120904,7.5565,-29854,0.0
120905,7.5565625,-29855,0.0
120906,7.556625,-29855,0.0
120907,7.5566875,-29856,0.0
120908,7.55675,-29858,0.0
120909,7.5568125,-29858,0.0
120910,7.556875,-29862,0.0
120911,7.5569375,-29864,0.0
120912,7.557,-29863,0.0
120913,7.5570625,-29863,0.0
120914,7.557125,-29864,0.0
120915,7.5571875,-29860,0.0
120916,7.55725,-29868,0.0
120917,7.5573125,-29867,0.0
120918,7.557375,-29862,0.0
120919,7.5574375,-29856,0.0
120920,7.5575,-29860,0.0
120921,7.5575625,-29858,0.0
120922,7.557625,-29857,0.0
120923,7.5576875,-29855,0.0
120924,7.55775,-29860,0.0
120925,7.5578125,-29857,0.0
120926,7.557875,-29856,0.0
120927,7.5579375,-29857,0.0
120928,7.558,-29864,0.0
120929,7.5580625,-29867,0.0
120930,7.558125,-29862,0.0
120931,7.5581875,-29866,0.0
120932,7.55825,-29865,0.0
120933,7.5583125,-29866,0.0
120934,7.558375,-29864,0.0
120935,7.5584375,-29861,0.0
120936,7.5585,-29860,0.0
120937,7.5585625,-29859,0.0
120938,7.558625,-29864,0.0
120939,7.5586875,-29867,0.0
120940,7.55875,-29861,0.0
120941,7.5588125,-29860,0.0
120942,7.558875,-29861,0.0
120943,7.5589375,-29863,0.0
120944,7.559,-29861,0.0
120945,7.5590625,-29854,0.0
120946,7.559125,-29860,0.0
120947,7.5591875,-29864,0.0
120948,7.55925,-29858,0.0
120949,7.5593125,-29853,0.0
120950,7.559375,-29859,0.0
120951,7.5594375,-29858,0.0
120952,7.5595,-29859,0.0
120953,7.5595625,-29857,0.0
120954,7.559625,-29853,0.0
120955,7.5596875,-29847,0.0
120956,7.55975,-29858,0.0
120957,7.5598125,-29857,0.0
